"Player_Name","Nation","Position_1","Position_2","Team_Name","Age","Birth_Year","Matches_Played_By_Player","Player_Starts","Player_Minutes_Played","Gls_By_Player","Ast_By_Player","PK_By_Player","Pkatt_By_Player","CrdY_By_Player","CrdR_By_Player","Season_Year","Player_SH","Player_SoT","Player_FK","Player_KP_Ast","Player_Total_Cmp_Passes","Player_Total_Att_Passes","Player_Short_Cmp_Passes","Player_Short_Att_Passes","Player_Medium_Cmp_Passes","Player_Medium_Att_Passes","Player_Long_Cmp_Passes","Player_Long_Att_Passes","Player_Passes_Left_Foot","Player_Passes_Right_Foot","Player_Passes_Through_Ball","Player_Passes_FK","Corner_Kicks","Thrown_Ins","Passes_Into_Final_Third","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","X2CrdY","Fls_Committed","Fld_Drawn","Offside","Crosses","TklW","Interception","PKwon","PKcon","OG","Succ_Dribbles","Att_Dribbles","Succ_Players_Dribbled_Past","Nutmegs","Dribblers_Tkl","Dribblers_Att_tkl","Dribbled_Past_By_Opp","Season_End_Team_Ranking","Team_MP","Team_Wins","Team_Ties","Team_Losses","Team_GF","Team_GA","Team_Season_End_Pts","Audience_Attendance"
"Patrick van Aanholt\Patrick-van-Aanholt","NED","DF",NA,"Crystal Palace",26,1990,28,25,2184,5,1,0,0,7,0,"2017-18",33,12,4,17,838,1115,20,55,658,776,160,284,720,175,21,0,11,179,57,29,7,0,18,10,3,57,30,54,0,0,0,16,23,18,0,47,60,13,11,38,11,11,16,45,55,44,"25,063"
"Rolando Aarons\Rolando-Aarons"," ENG","MF","FW","Newcastle Utd",21,1995,4,1,139,0,0,0,0,0,0,"2017-18",2,0,0,0,28,44,2,5,25,35,1,4,31,8,0,0,0,0,0,1,1,0,1,3,1,2,4,1,0,0,0,2,3,2,0,5,7,2,10,38,12,8,18,39,47,44,"51,992"
"Tammy Abraham\Tammy-Abraham"," ENG","FW","MF","Swansea City",19,1997,31,15,1726,5,1,0,0,0,0,"2017-18",42,14,0,10,206,306,11,28,170,232,25,46,25,219,0,0,0,1,16,3,2,0,15,27,9,13,3,1,0,0,0,26,45,27,0,7,19,12,18,38,8,9,21,28,56,33,"20,623"
"Charlie Adam\Charlie-Adam"," SCO","MF",NA,"Stoke City",31,1985,11,5,411,0,0,0,1,2,1,"2017-18",9,2,2,7,170,279,0,9,96,116,74,154,212,42,14,1,9,4,29,6,3,0,8,8,0,30,4,8,0,0,0,9,11,10,0,9,18,9,19,38,7,12,19,35,68,33,"29,280"
"Adriˇn\Adrian","ESP","GK",NA,"West Ham",30,1987,19,19,1710,0,0,0,0,2,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,10,12,16,48,68,42,"56,885"
"Ibrahim Afellay\Ibrahim-Afellay","NED","MF",NA,"Stoke City",31,1986,6,1,166,0,0,0,0,1,0,"2017-18",0,0,0,0,70,81,0,0,53,60,17,21,21,55,0,0,0,1,7,0,0,0,1,0,0,0,2,1,0,0,0,1,1,1,1,2,3,1,19,38,7,12,19,35,68,33,"29,280"
"Benik Afobe\Benik-Afobe","COD","FW","MF","Bournemouth",24,1993,17,5,611,0,0,0,0,0,0,"2017-18",9,4,0,1,103,138,4,10,92,118,7,10,30,76,0,0,0,0,6,3,0,0,9,13,4,2,3,1,1,0,0,5,6,5,0,4,10,6,12,38,11,11,16,45,61,44,"10,641"
"Sergio AgÅero\Sergio-Aguero","ARG","FW",NA,"Manchester City",29,1988,25,22,1963,21,6,4,4,2,0,"2017-18",92,38,1,36,525,643,27,60,469,543,29,40,81,537,0,3,1,3,18,26,1,0,10,17,16,16,5,8,0,0,0,30,48,39,0,8,17,9,1,38,32,4,2,106,27,100,"54,070"
"Nathan Ak?\Nathan-Ake","NED","DF",NA,"Bournemouth",22,1995,38,37,3353,2,3,0,0,5,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,38,11,11,16,45,61,44,"10,641"
"Marc Albrighton\Marc-Albrighton"," ENG","MF","FW","Leicester City",27,1989,34,30,2538,2,7,0,0,5,1,"2017-18",21,7,1,40,747,1260,15,75,524,665,208,520,121,1057,27,3,64,46,101,33,14,0,20,25,1,214,28,35,0,1,0,51,81,52,5,48,79,31,9,38,12,11,15,56,60,47,"31,583"
